lesson,lesson_raw,expression,reading,meaning,decision,target_theme,notes
30,30,花瓶,花瓶[かびん],vase,,,
30,30,講義,講義[こうぎ],lecture,,,
30,30,非常時,非常時[ひじょうじ],emergency,,,
30,30,非常袋,非常[ひじょう] 袋[ぶくろ],emergency kit,,,
31,31,〜の　方,〜の　 方[ほう],"place toward ~, direction of ~",,,
31,31,のぞみ,のぞみ,name of a Shinkansen train (~42号：Nozomi Superexpress No. 42),,,
31,31,バリ,バリ,Bali (Indonesian island),,,
31,31,ピカソ,ピカソ,"Pablo Picasso, Spanish painter (1881-1973)",,,
31,31,ー号,ー 号[ごう],"train number, typhoon number, etc.",,,
31,31,休憩します,休憩[きゅうけい]します,"to take a break, take a rest",,,
31,31,入学試験,入学[にゅうがく] 試験[しけん],entrance examination,,,
31,31,受けます［試験を〜］,受[う]けます［ 試験[しけん]を〜］,to take [an examination],,,
31,31,嫌［な］,嫌[いや]［な］,"hateful, disagreeable",,,
31,31,子どもたち,子[こ]どもたち,children,,,
31,31,帰り,帰[かえ]り,return,,,
31,31,式,式[しき],ceremony,,,
31,31,支店,支店[してん],branch office,,,
31,31,月に,月[つき]に,per month,,,
31,31,本社,本社[ほんしゃ],head office (HQ),,,
31,31,村,村[むら],village,,,
31,31,発表,発表[はっぴょう],"announcement, presentation (〜します：to announce)",,,
31,31,結婚式,結婚式[けっこんしき],wedding ceremony,,,
31,31,続けます,続[つづ]けます,to continue,,,
31,31,見つけます,見[み]つけます,to find,,,
31,31,連休,連休[れんきゅう],consecutive holidays,,,
31,31,閉じます,閉[と]じます,to close,,,
31,31,［お］葬式,［お］ 葬式[そうしき],funeral,,,
32,32,あんなに,あんなに,"that (much, etc.) (concerning a matter not related to the speaker or the listener)",,,
32,32,おかしい,おかしい,"strange, funny",,,
32,32,けが,けが,injury (〜を　します：to get injured),,,
32,32,こんなに,こんなに,"this (much, etc.)",,,
32,32,それは　いけませんえ。,それは　いけませんえ。,I'm sorry to hear that.,,,
32,32,そんなに,そんなに,"that (much, etc.) (concerning a matter related to the listener)",,,
32,32,やけど,やけど,burning (〜を　します：to get burned),,,
32,32,やみます［雨が〜］,やみます［ 雨[あめ]が〜］,[rain] to stop,,,
32,32,インフルエンザ,インフルエンザ,"influenza (i.e., the flu)",,,
32,32,エンジン,エンジン,engine,,,
32,32,ストレス,ストレス,stress,,,
32,32,チーム,チーム,team,,,
32,32,ヨーロッパ,ヨーロッパ,Europe,,,
32,32,ラッキーアイテム,ラッキーアイテム,something lucky,,,
32,32,今夜,今夜[こんや],this evening,,,
32,32,働きすぎ,働[はたら]きすぎ,overworking,,,
32,32,出ます［試合に〜］［パーティーに〜］,出[で]ます［ 試合[しあい]に〜］［パーティーに〜］,to participate [in a match]; to attend [a party],,,
32,32,十分［な］,十分[じゅうぶん]［な］,"enough, sufficient",,,
32,32,合格します［試験に〜］,合格[ごうかく]します［ 試験[しけん]に〜］,to pass [an examination],,,
32,32,国際　〜,国際[こくさい]　〜,international ~,,,
32,32,恋人,恋人[こいびと],"sweetheart, boyfriend, girlfriend",,,
32,32,恋愛,恋愛[れんあい],romantic love,,,
32,32,成功します,成功[せいこう]します,to succeed,,,
32,32,星,星[ほし],star,,,
32,32,星占い,星[ほし] 占[うらな]い,horoscope,,,
32,32,水道,水道[すいどう],"faucet, tap, water supply",,,
32,32,牡牛座,牡[お] 牛[うし] 座[ざ],Taurus,,,
32,32,石,石[いし],stone,,,
32,32,胃,胃[い],stomach,,,
32,32,遅く,遅[おそ]く,late (time),,,
33,33,〜ほど,〜ほど,about ~,,,
33,33,あきらめます,あきらめます,to give up,,,
33,33,あと　〜,あと　〜,~ left,,,
33,33,もともと,もともと,originally,,,
33,33,ボール,ボール,ball,,,
33,33,マーク,マーク,"mark, symbol",,,
33,33,リサイクルします,リサイクルします,to recycle,,,
33,33,使用中,使用[しよう] 中[ちゅう],In Use,,,
33,33,使用禁止,使用[しよう] 禁止[きんし],Do Not Use,,,
33,33,出席します,出席[しゅっせき]します,to attend [a meeting],,,
33,33,助け合います,助け合[たすけあ]います,to help each other,,,
33,33,募集中,募集[ぼしゅう] 中[ちゅう],Applications Wanted,,,
33,33,徐行,徐行[じょこう],Go Slow,,,
33,33,投げます,投[な]げます,to throw,,,
33,33,相手,相手[あいて],the other person,,,
33,33,立入禁止,立入禁止[たちいりきんし],Keep Out,,,
33,33,締め切り,締め切[しめき]り,deadline,,,
33,33,罰金,罰金[ばっきん],fine,,,
33,33,規則,規則[きそく],"regulation, rule",,,
33,33,逃げます,逃[に]げます,to run away,,,
33,33,非常口,非常口[ひじょうぐち],emergency exit,,,
33,33,飲み放題,飲[の]み 放題[ほうだい],All You Can Drink,,,
33,33,駐車違反,駐車[ちゅうしゃ] 違反[いはん],parking violation,,,
34,34,〜か　〜,〜か　〜,~ or ~,,,
34,34,いかがですか。,いかがですか。,How is it?,,,
34,34,お茶を　たてます,お 茶[ちゃ]を　たてます,to make (green) tea (at a tea ceremony),,,
34,34,これで　いいですか。,これで　いいですか。,Is this all right?,,,
34,34,さっき,さっき,a short while ago,,,
34,34,つけます［しょうゆを〜］,つけます［しょうゆを〜］,to put [in soy sauce],,,
34,34,どんぶり,どんぶり,bowl,,,
34,34,ゆうべ,ゆうべ,last night,,,
34,34,スポーツクラブ,スポーツクラブ,sports club,,,
34,34,ソース,ソース,"sauce, Worcestershire sauce",,,
34,34,ーグラム,ーグラム,- gram(s),,,
34,34,図,図[ず],"figure, drawing",,,
34,34,火に　かけます,火[ひ]に　かけます,to put on the stove,,,
34,34,煮えます,煮[に]えます,"to be cooked, be boiled",,,
34,34,煮ます,煮[に]ます,"to cook, boil",,,
34,34,紺,紺[こん],"navy blue, dark blue (noun)",,,
34,34,組み立てます,組み立[くみた]てます,to assemble,,,
34,34,茶道,茶道[さどう],tea ceremony,,,
34,34,親子どんぶり,親子[おやこ]どんぶり,a bowl of cooked rice with chicken and egg,,,
34,34,説明書,説明[せつめい] 書[しょ],"explanatory pamphlet, instruction book",,,
34,34,調味料,調味[ちょうみ] 料[りょう],"seasoning, flavouring",,,
34,34,赤,赤[あか],red (noun),,,
34,34,載せます,載[の]せます,"place on, load onto",,,
34,34,適当な　大きさに,適当[てきとう]な　 大[おお]きさに,in right size,,,
34,34,青,青[あお],blue (noun),,,
34,34,黒,黒[くろ],black (noun),,,
34,34,４分の１（１／４）,４ 分[ぶん]の１（１／４）,one fourth,,,
35,35,ことわぎ,ことわぎ,a proverb,,,
35,35,これで　終わりましょう。,これで　 終[お]わりましょう。,Let's finish now.,,,
35,35,それなら,それなら,in that case,,,
35,35,ひも,ひも,string,,,
35,35,ふりがな,ふりがな,kana above or beside kanji indicating its pronunciation,,,
35,35,カーテン,カーテン,curtain,,,
35,35,キー,キー,key,,,
35,35,クリックします,クリックします,to click,,,
35,35,スキー場,スキー 場[じょう],"ski resort, ski area",,,
35,35,レバー,レバー,lever,,,
35,35,交わります,交[まじ]わります,to keep company with,,,
35,35,付けます［丸を〜］,付[つ]けます［ 丸[まる]を〜］,"To draw [a circle], mark [with a circle], add",,,
35,35,入力します,入力[にゅうりょく]します,to input,,,
35,35,向こう,向[む]こう,"over there, the other side",,,
35,35,夜行バス,夜行[やこう]バス,overnight bus,,,
35,35,山登り,山登[やまのぼ]り,mountain climbing,,,
35,35,旅行社,旅行[りょこう] 社[しゃ],travel agency,,,
35,35,朱,朱[しゅ],vermilion,,,
35,35,機会,機会[きかい],"chance, opportunity",,,
35,35,港,港[みなと],"port, harbor",,,
35,35,設備,設備[せつび],"equipment, facilities",,,
35,35,許可,許可[きょか],permission,,,
35,35,詳しい,詳[くわ]しい,detailed,,,
36,36,かなり,かなり,fairly,,,
36,36,このごろ,このごろ,these days,,,
36,36,して　いらっしゃいます,して　いらっしゃいます,to be doing (respectful equivalent of して　います）,,,
36,36,チャレンジします,チャレンジします,to challenge,,,
36,36,ラッシュ,ラッシュ,rush hour,,,
36,36,ー世紀,ー 世紀[せいき],-th century,,,
36,36,上手に,上手[じょうず]に,"well, skillfully",,,
36,36,乗り物,乗り物[のりもの],"vehicle, means of transportation",,,
36,36,使って　いらっしゃるんですね。,使[つか]って　いらっしゃるんですね。,"You're using, aren't you? (respectful equivalent of つかって　いるんですね）",,,
36,36,剣道,剣道[けんどう],kendo (Japanese style fencing),,,
36,36,大勢の　〜,大勢[たいせい]の　〜,many (people),,,
36,36,必ず,必[かなら]ず,"without fail, by any means",,,
36,36,慣れます［仕事に〜］,慣[な]れます［ 仕事[しごと]に〜］,to get accustomed to [one's job],,,
36,36,柔道,柔道[じゅうどう],judo,,,
36,36,毎年,毎年[まいとし]［まいねん］,every year,,,
36,36,毎月,毎月[まいつき],every month,,,
36,36,毎週,毎週[まいしゅう],every week,,,
36,36,汽船,汽船[きせん],steam boat,,,
36,36,汽車,汽車[きしゃ],locomotive,,,
36,36,特別［な］,特別[とくべつ]［な］,special,,,
36,36,絶対に,絶対[ぜったい]に,absolutely,,,
36,36,腐ります［食べ物が〜］,腐[くさ]ります［ 食べ物[たべもの]が〜］,to [food] rot,,,
36,36,貯金します,貯金[ちょきん]します,to save money,,,
36,36,過ぎます［７時を〜］,過[す]ぎます［７ 時[じ]を〜］,to pass [7 o'clock],,,
36,36,遠く,遠[とお]く,"far, remote place",,,
37,37,〜の　一つ,〜の　 一[ひと]つ,one of the ~,,,
37,37,しかし,しかし,"however, but",,,
37,37,その　あと,その　あと,after that,,,
37,37,その後,その 後[ご],"after that, later",,,
37,37,ねずみ,ねずみ,mouse,,,
37,37,よかったですね。,よかったですね。,Sounds good.,,,
37,37,インスタントラーメン,インスタントラーメン,instant noodles,,,
37,37,オリンピック,オリンピック,Olympic Games,,,
37,37,サウジアラビア,サウジアラビア,Saudi Arabia,,,
37,37,デート,デート,date,,,
37,37,ポルトガル,ポルトガル,Portugal,,,
37,37,ロシア,ロシア,Russia,,,
37,37,ワールドカップ,ワールドカップ,World Cup,,,
37,37,ーキロ,ーキロ,"- kilograms, - kilometers",,,
37,37,ー世紀,ー 世紀[せいき],-th century,,,
37,37,一匹も　いません。,一匹[いっぴき]も　いません。,There is not a single (mouse).,,,
37,37,世界中,世界中[せかいじゅう],all over the world,,,
37,37,世界遺産,世界[せかい] 遺産[いさん],World Heritage Site,,,
37,37,仲間,仲間[なかま],"colleague, friend",,,
37,37,何語,何[なに] 語[ご],what language,,,
37,37,原料,原料[げんりょう],raw material,,,
37,37,大仏,大仏[だいぶつ],Great Buddha,,,
37,37,左甚五郎,左[ひだり] 甚[じん]五[ご]郎[ろう],famous Japanese sculptor of the Edo Period (1594-1651),,,
37,37,彫ります,彫[ほ]ります,"to engrave, carve",,,
37,37,彫刻,彫刻[ちょうこく],"engraving, carving, sculpture",,,
37,37,本物,本物[ほんもの],real thing,,,
37,37,東大寺,東大寺[とうだいじ],Todaiji Temple,,,
37,37,東照宮,東照宮[とうしょうぐう],"shrine dedicated to Tokugawa Ieyasu in Nikko, Tochigi prefecture",,,
37,37,江戸時代,江戸[えど] 時代[じだい],Edo Period (1603-1868),,,
37,37,焼けます［うちが〜］,焼[や]けます［うちが〜］,[house] to burn down,,,
37,37,発明します,発明[はつめい]します,to invent,,,
37,37,皆様,皆様[みなさま],"Ladies and Gentlemen, everybody (respectful equivalent of みなさん）",,,
37,37,眠り猫,眠[ねむ]り 猫[ねこ],The Sleeping Cat,,,
37,37,米,米[こめ],rice,,,
37,37,褒めます,褒[ほ]めます,to praise,,,
37,37,豪華［な］,豪華[ごうか]［な］,gorgeous,,,
37,37,輸入します,輸入[ゆにゅう]します,to import,,,
37,37,輸出します,輸出[ゆしゅつ]します,to export,,,
37,37,金,金[きん],gold,,,
37,37,金色,金色[きんいろ],golden color,,,
37,37,麦,麦[むぎ],"barley, wheat",,,
38,38,5年生,5 年生[ねんせい],"fifth grade, fifth year",,,
38,38,〜と　いう,〜と　いう,"entitled ~, named ~, called ~",,,
38,38,〜製,〜 製[せい],made in ~,,,
38,38,おとなしい,おとなしい,"quiet, gentle",,,
38,38,お先に［失礼します］。,お 先[さき]に［ 失礼[しつれい]します］。,Excuse me [for leaving before you].,,,
38,38,かな,かな,hiragana and katakana script,,,
38,38,きちんと,きちんと,"neatly, tidily",,,
38,38,しかた,しかた,way (of doing something),,,
38,38,はんこ,はんこ,"seal, stamp",,,
38,38,チェンマイ,チェンマイ,Chiangmai (in Thailand),,,
38,38,不思議［な］,不思議[ふしぎ]［な］,"mysterious, strange",,,
38,38,似て　います,似[に]て　います,"to resemble, be like",,,
38,38,入れます［電源を〜］,入[い]れます［ 電源[でんげん]を〜］,to turn on [the power switch],,,
38,38,出雲大社,出雲[いずも] 大社[たいしゃ],a shrine in Izumo city in Shinmane prefecture,,,
38,38,原爆ドーム,原爆[げんばく]ドーム,dome commemorating the atomic bombing of Hiroshima,,,
38,38,回覧,回覧[かいらん],circular,,,
38,38,大きな　〜,大[おお]きな　〜,"large ~, big ~",,,
38,38,小さな　〜,小[ちい]さな　〜,"small ~, little ~",,,
38,38,年齢,年齢[ねんれい],age,,,
38,38,掛けます［かぎを〜］,掛[か]けます［かぎを〜］,to lock,,,
38,38,整理します,整理[せいり]します,sort (things) out,,,
38,38,時間が　たちます,時間[じかん]が　たちます,time passes by,,,
38,38,村,村[むら],village,,,
38,38,気が　強い,気[き]が　 強[つよ]い,"tough, strong-willed",,,
38,38,気持ちが　いい,気持[きも]ちが　いい,"pleasant, aggreeable",,,
38,38,海岸,海岸[かいがん],"seaside, seashore",,,
38,38,習慣,習慣[しゅうかん],habit,,,
38,38,育てます,育[そだ]てます,"to breed, bring up",,,
38,38,電源,電源[でんげん],power switch,,,
38,38,駅前,駅前[えきまえ],the area in front of the station,,,
38,38,［あ、］いけない。,［あ、］いけない。,"Oops! / Oh, no! (used when one has made a mistake)",,,
39,39,〜屋,〜 屋[や],"-er (e.g., baker, grocer, etc.)",,,
39,39,お疲れ様でした。,お 疲れ様[つかれさま]でした。,Thank you for your hard work. (used to express appreciation for a coleague's or subordinate's work),,,
39,39,がっかりします,がっかりします,to be disappointed,,,
39,39,しかし,しかし,"however, but",,,
39,39,せっけん,せっけん,soap,,,
39,39,やせます,やせます,"to get slim, lose weight",,,
39,39,タオル,タオル,towel,,,
39,39,トラック,トラック,"truck, lorry",,,
39,39,ハイキング,ハイキング,hiking,,,
39,39,フロント,フロント,"front desk, reception desk",,,
39,39,ー号室,ー 号[ごう] 室[しつ],room number -,,,
39,39,今では,今[いま]では,now,,,
39,39,伝統的［な］,伝統[でんとう] 的[てき]［な］,traditional,,,
39,39,伺います。,伺[うかが]います。,I'm coming. (humble equivalent of 行きます),,,
39,39,倒れます［ビルが〜］,倒[たお]れます［ビルが〜］,[a building] to fall down,,,
39,39,大勢,大勢[おおせい],a great number (of people),,,
39,39,成人式,成人[せいじん] 式[しき],coming-of-age celebration,,,
39,39,操作,操作[そうさ],operation (〜します：to operate),,,
39,39,洋服,洋服[ようふく],Western clothes,,,
39,39,津波,津波[つなみ],"tsunami, tidal wave",,,
39,39,西洋化します,西洋[せいよう] 化[か]します,to be Westernized,,,
39,39,途中で,途中[とちゅう]で,"on the way, in the midst of",,,
39,39,通ります［道を〜］,通[とお]ります［ 道[みち]を〜］,to pass [along a stree],,,
39,39,邪魔［な］,邪魔[じゃま]［な］,"obstructive, in the way",,,
39,39,離婚します,離婚[りこん]します,to divorce,,,
39,39,［お］見合い,［お］ 見合[みあ]い,a meeting arranged with a view to marriage,,,
40,40,JAL,JAL,Japan Airlines,,,
40,40,〜以上,〜 以上[いじょう],"not less than ~, over ~",,,
40,40,〜以下,〜 以下[いか],"not more than ~, under ~",,,
40,40,どうでしょうか。,どうでしょうか。,How is ~? (polite equivalent of どうですか),,,
40,40,オートバイ,オートバイ,motorcycle,,,
40,40,コンテスト,コンテスト,contest,,,
40,40,ズボン,ズボン,trousers,,,
40,40,テスト,テスト,"test, examination",,,
40,40,マラソン,マラソン,marathon,,,
40,40,ーグラム,ーグラム,- grams,,,
40,40,ーセンチ,ーセンチ,- centimeters,,,
40,40,ーミリ,ーミリ,- millimeters,,,
40,40,七夕祭り,七夕[たなばた] 祭[まつ]り,the Star Festival,,,
40,40,事件,事件[じけん],"incident, case",,,
40,40,二次会,二次会[にじかい],second party,,,
40,40,今でも,今[いま]でも,even now,,,
40,40,仙台,仙台[せんだい],capital of Miyagi prefecture,,,
40,40,傷,傷[きず],"defect, wound, scratch",,,
40,40,僕弾,僕[ぼく] 弾[だん],bomb,,,
40,40,出ます［問題が〜］,出[で]ます［ 問題[もんだい]が〜］,[problems] to be on a test,,,
40,40,出発します,出発[しゅっぱつ]します,to depart,,,
40,40,到着します,到着[とうちゃく]します,to arrive,,,
40,40,合います［サイズが〜］,合[あ]います［サイズが〜］,[the size] to fit,,,
40,40,大きさ,大[おお]きさ,"size, scale",,,
40,40,大会,大会[たいかい],"rally, convention",,,
40,40,忘年会,忘年会[ぼうねんかい],year-end party,,,
40,40,手に　入れます,手[て]に　 入[い]れます,"to obtain, get",,,
40,40,新年会,新年[しんねん] 会[かい],New Year's party,,,
40,40,東照宮,東照宮[とうしょうぐう],"shrine dedicated to Tokugawa Ieyasu in Nikko, Tochigi prefecture",,,
40,40,様子,様子[ようす],"situation, condition, appearance",,,
40,40,測ります、量ります,測[はか]ります、 量[はか]ります,"to measure, weigh",,,
40,40,男,男[おとこ],man,,,
40,40,発表会,発表[はっぴょう] 会[かい],presentation meeting,,,
40,40,確かめます,確[たし]かめます,"to confirm, make sure",,,
40,40,表,表[おもて],"face, front",,,
40,40,裏,裏[うら],back (side),,,
40,40,運転手,運転[うんてん] 手[しゅ],driver,,,
40,40,酔います,酔[よ]います,to get drunk,,,
40,40,重さ,重[おも]さ,weight,,,
40,40,長さ,長[なが]さ,length,,,
40,40,長崎,長崎[ながさき],capital of Nagasaki prefecture,,,
40,40,離れた,離[はな]れた,remote,,,
40,40,高さ,高[たか]さ,height,,,
40,40,［お］年寄り,［お］ 年寄[としよ]り,elderly person,,,
40,40,［ー］便,［ー］ 便[びん],"flight, flight number",,,
41,41,〜さん,〜さん,suffix added to a person's job title as a polite way of referring to them,,,
41,41,いじめます,いじめます,"to bully, abuse, ill-treat",,,
41,41,いただきます,いただきます,to receive (humble equivalent of もらいます),,,
41,41,お姫様,お 姫様[ひめさま],princess,,,
41,41,お孫さん,お 孫[まご]さん,(someone else's) grandchild,,,
41,41,お年玉,お 年玉[としだま],money given as a New Year's gift,,,
41,41,かめ,かめ,"turtle, tortoise",,,
41,41,くださいます,くださいます,to give (respectful equivalent of くれます),,,
41,41,この間,この 間[あいだ],the other day,,,
41,41,すると,すると,"and, then",,,
41,41,とうぞ　お幸せに。,とうぞ　お 幸[しあわ]せに。,I hope you will be very happy.,,,
41,41,ひとこと,ひとこと,a few words,,,
41,41,ドライバー,ドライバー,screwdriver,,,
41,41,ハンカチ,ハンカチ,handkerchief,,,
41,41,上げます,上[あ]げます,"to raise, lift up",,,
41,41,下げます,下[さ]げます,"to lower, pull down",,,
41,41,中身,中身[なかみ],content,,,
41,41,二人,二人[ふたり],couple,,,
41,41,冷房,冷房[れいぼう],air-conditioning,,,
41,41,助けます,助[たす]けます,"to save, help",,,
41,41,子どもたち,子[こ]どもたち,children,,,
41,41,幼稚園,幼稚園[ようちえん],"preschool, kindergarten",,,
41,41,昔話,昔話[むかしばなし],"old tale, folklore",,,
41,41,浦島太郎,浦島[うらしま] 太郎[たろう],name of the main character in an old folk tale,,,
41,41,煙,煙[けむり],smoke,,,
41,41,猿,猿[さる],"ape, monkey",,,
41,41,男,男[おとこ],man,,,
41,41,発音,発音[はつおん],pronunciation,,,
41,41,真っ白［な］,真っ白[まっしろ]［な］,pure white,,,
41,41,管理人,管理[かんり] 人[じん],"janitor, caretaker",,,
41,41,絵はがき,絵[え]はがき,picture postcard,,,
41,41,絵本,絵本[えほん],picture book,,,
41,41,興味,興味[きょうみ],interest (［コンピューターに］〜が　あります：to be interested [in computers]),,,
41,41,親切に　します,親切[しんせつ]に　します,to be kind to,,,
41,41,陸,陸[りく],"land, shore",,,
41,41,［お］見舞い,［お］ 見舞[みま]い,"expression of sympathy, consolatory gift to a sick person",,,
42,42,そろばん,そろばん,abacus,,,
42,42,どんぶり,どんぶり,bowl,,,
42,42,のし袋,のし 袋[ぶくろ],envelop for a gift of money,,,
42,42,ふろしき,ふろしき,wrapping cloth used to carry things,,,
42,42,めん,めん,noodles,,,
42,42,やかん,やかん,kettle,,,
42,42,アパート,アパート,"apartment, flat",,,
42,42,エリーゼの　ために,エリーゼの　ために,Für Elise (For Elise),,,
42,42,カップめん,カップ[かっぷ]めん,"instant noodles sold in a ready-to-use disposable container, pot noodles",,,
42,42,チキンラーメン,チキンラーメン,brand name of instant noodles,,,
42,42,ベートーベン,ベートーベン,"Ludwig van Beethoven, German composer (1770-1827)",,,
42,42,ミキサー,ミキサー,"mixer, blender",,,
42,42,ローン,ローン,loan,,,
42,42,丈夫［な］,丈夫[じょうぶ]［な］,"strong, healthy",,,
42,42,世界初,世界[せかい] 初[はつ],world's first,,,
42,42,出ます［ボーナスが〜］,出[で]ます［ボーナスが〜］,[bonus] to be paid,,,
42,42,国連,国連[こくれん],United Nations,,,
42,42,子どもたち,子[こ]どもたち,children,,,
42,42,安藤百福,安藤[あんどう] 百[もも] 福[ふく],Japanese businessman and inventor (1910-2007),,,
42,42,市場調査,市場[しじょう] 調査[ちょうさ],"market survey, market research",,,
42,42,広めます,広[ひろ]めます,to spread,,,
42,42,戦争,戦争[せんそう],war,,,
42,42,教育,教育[きょういく],education,,,
42,42,栓抜き,栓[せん] 抜[ぬ]き,"bottle opener, corkscrew",,,
42,42,沸かします,沸[わ]かします,to boil,,,
42,42,法律,法律[ほうりつ],law,,,
42,42,注ぎます,注[そそ]ぎます,to pour,,,
42,42,混ぜます,混[ま]ぜます,to mix,,,
42,42,缶切り,缶切[かんき]り,can opener,,,
43,43,うまい,うまい,tasty,,,
43,43,とれます［ボタンが〜］,とれます［ボタンが〜］,[a button] to come off,,,
43,43,ばら,ばら,rose,,,
43,43,わあ,わあ,Oh! / Wow!,,,
43,43,ガソリン,ガソリン,"petrol, gasoline",,,
43,43,ドライブ,ドライブ,driving,,,
43,43,パンフレット,パンフレット,pamphlet,,,
43,43,今にも,今[いま]にも,at any moment (used to describe a situation just before it changes),,,
43,43,切れます［ひもが〜］,切[き]れます［ひもが〜］,"[a string] to break, snap",,,
43,43,知り合います,知り合[しりあ]います,to get acquainted,,,
43,43,落ちます［荷物が〜］,落[お]ちます［ 荷物[にもつ]が〜］,[baggage] to fall down,,,
44,44,DVD,DVD,DVD,,,
44,44,〜みたいに　して　ください。,〜みたいに　して　ください。,Do it like ~.,,,
44,44,うまく,うまく,well,,,
44,44,これで　よろしいでしょうか。,これで　よろしいでしょうか。,Would this be alright? (polite),,,
44,44,これら,これら,these,,,
44,44,どう　なさいますか。,どう　なさいますか。,What can I do for you? (respectful),,,
44,44,どういうふうに　なさいますか。,どういうふうに　なさいますか。,How would you like it done? (respectful),,,
44,44,ぬれます［シャツが〜］,ぬれます［シャツが〜］,[a shirt] to get wet,,,
44,44,カット,カット,haircut,,,
44,44,シャンプー,シャンプー,shampoo (〜を　します：to shampoo),,,
44,44,ショート,ショート,short,,,
44,44,シングル,シングル,single room,,,
44,44,ツイン,ツイン,twin-bedded room,,,
44,44,ー倍,ー 倍[ばい],- times,,,
44,44,別れます,別[わか]れます,"to part, separate",,,
44,44,嫌がります,嫌[いや]がります,to dislike,,,
44,44,安心［な］,安心[あんしん]［な］,relieved,,,
44,44,洋食,洋食[ようしょく],Western dish,,,
44,44,涙,涙[なみだ],tear,,,
44,44,縁起が　悪い,縁起[えんぎ]が　 悪[わる]い,"unlucky, ill-omened",,,
44,44,調節します,調節[ちょうせつ]します,to adjust,,,
44,44,起きます［事故が〜］,起[お]きます［ 事故[じこ]が〜］,[an accident] to happen,,,
44,44,順序,順序[じゅんじょ],order,,,
44,44,［どうも］お疲れ様でした。,［どうも］お 疲れ様[つかれさま]でした。,Thank you for your patience. (shop assistant to customer),,,
45,45,それでも,それでも,"nevertheless, for all that",,,
45,45,カンセルします,カンセルします,to cancel,,,
45,45,カンプ,カンプ,camp,,,
45,45,スタート,スタート,start,,,
45,45,セットします,セットします,to set,,,
45,45,ー位,ー 位[い],-th (ranking),,,
45,45,中止,中止[ちゅうし],"calling off, cancelling, suspension",,,
45,45,以上です,以上[いじょう]です,That's all.,,,
45,45,係員,係員[かかりいん],"person in charge, organiser",,,
45,45,保証書,保証書[ほしょうしょ],guarantee,,,
45,45,信じます,信[しん]じます,"to believe, trust",,,
45,45,優勝します,優勝[ゆうしょう]します,"to win the championship, come first",,,
45,45,回答,回答[かいとう],"answer, reply (〜します：to answer, reply)",,,
45,45,梅,梅[うめ],plum (blossom),,,
45,45,楽しみに　して　います,楽[たの]しみに　して　います,"to be looking forward to, be expecting",,,
45,45,無理に,無理[むり]に,unreasonably,,,
45,45,目が　覚めます,目[め]が　 覚[さ]めます,to wake up,,,
45,45,目覚まし［時計］,目覚[めざ]まし［ 時計[どけい]］,alarm clock,,,
45,45,知らせます,知[し]らせます,to inform,,,
45,45,領収書,領収[りょうしゅう] 書[しょ],receipt,,,
45,45,１１０番,１１０ 番[ばん],the emergency police telephone number,,,
45,45,１１９番,１１９ 番[ばん],the emergency fire service telephone number,,,
46,46,〜の　所,〜の　 所[ところ],"where ~ is/are, by the ~",,,
46,46,お待たせしました。,お 待[ま]たせしました。,Sorry to have kept you waiting.,,,
46,46,こちら,こちら,my side,,,
46,46,たった今,たった 今[いま],just now (used with the past tense; indicates completion),,,
46,46,ちょうど,ちょうど,"just, exactly",,,
46,46,ついて　います,ついて　います,to be lucky,,,
46,46,どちら様でしょうか。,どちら 様[さま]でしょうか。,"Who is this, please?",,,
46,46,ガスサーセンター,ガスサーセンター,gas service center,,,
46,46,ガスレンジ,ガスレンジ,"gas range, gas cooker",,,
46,46,ベル,ベル,bell,,,
46,46,今　いいですか。,今[いま]　いいですか。,Have you got a moment?,,,
46,46,入学します［大学に〜］,入学[にゅうがく]します［ 大学[だいがく]に〜］,to enter [a university],,,
46,46,出ます［バスが〜］,出[で]ます［バスが〜］,"[a bus] to leave, depart",,,
46,46,出来事,出来事[できごと],incident,,,
46,46,半年,半年[はんとし],half a year,,,
46,46,向かいます,向[む]かいます,to head for,,,
46,46,宅配便,宅配[たくはい] 便[びん],(package delivered by) home delivery service,,,
46,46,慌てて,慌[あわ]てて,in a hurry,,,
46,46,焼けます［パンが〜］［肉が〜］,焼[や]けます［パンが〜］［ 肉[にく]が〜］,"[bread] to be baked, [meat] to be roasted, be grilled",,,
46,46,申し訳ありません。,申し訳[もうしわけ]ありません。,I'm sorry.,,,
46,46,順番に,順番[じゅんばん]に,in order,,,
47,47,データ,データ,data,,,
47,47,パトカー,パトカー,police car,,,
47,47,人口,人口[じんこう],population,,,
47,47,別れます［人が〜］,別[わか]れます［ 人[ひと]が〜］,"[people] to part, separate",,,
47,47,医学,医学[いがく],"medicine, medical science",,,
47,47,反対,反対[はんたい],"objection, opposition",,,
47,47,女性,女性[じょせい],"female, woman",,,
47,47,婚約します,婚約[こんやく]します,to get engaged,,,
47,47,実験,実験[じっけん],experiment,,,
47,47,恋人,恋人[こいびと],"sweetheart, boyfriend, girlfriend",,,
47,47,検証,検証[けんしょう],makeup (〜を　します：to put on makeup),,,
47,47,燃えます［ごみが〜］,燃[も]えます［ごみが〜］,[rubbish] to burn,,,
47,47,男性,男性[だんせい],"male, man",,,
47,47,相手,相手[あいて],the other person,,,
47,47,知り合います,知り合[しりあ]います,to get acquainted,,,
47,47,科学,科学[かがく],science,,,
47,47,賛成,賛成[さんせい],"approval, agreement",,,
